#����t�@�C��,20180925150704.m2ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�J�n�t���[��,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�I���t���[��,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�m�x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�t�B���^,Butterworth 12.0Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#�P��,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,Nose(x),Nose(z),Neck(x),Neck(z),R Shoulder(x),R Shoulder(z),R Elbow(x),R Elbow(z),R Wrist(x),R Wrist(z),L Shoulder(x),L Shoulder(z),L Elbow(x),L Elbow(z),L Wrist(x),L Wrist(z),Mid Hip(x),Mid Hip(z),R Hip(x),R Hip(z),R Knee(x),R Knee(z),R Ankle(x),R Ankle(z),L Hip(x),L Hip(z),L Knee(x),L Knee(z),L Ankle(x),L Ankle(z),R Eye(x),R Eye(z),L Eye(x),L Eye(z),R Ear(x),R Ear(z),L Ear(x),L Ear(z),L Big Toe(x),L Big Toe(z),L Small Toe(x),L Small Toe(z),L Heel(x),L Heel(z),R Big Toe(x),R Big Toe(z),R Small Toe(x),R Small Toe(z),R Heel(x),R Heel(z),COG(�S�g)(x),COG(�S�g)(z),COG(���� + ����)(x),COG(���� + ����)(z)
52,-230.886,-93.5755,-231.327,-113.909,-214.223,-113.087,-190.02,-129.154,-198.537,-111.766,-247.748,-113.974,-271.127,-126.604,-265.854,-114.97,-229.607,-149.828,-220.007,-149.806,-215.569,-178.356,-211.767,-205.507,-238.974,-149.742,-248.684,-175.965,-249.222,-205.419,-226.713,-90.911,-232.889,-90.5049,-221.859,-94.3421,-238.37,-92.8829,-249.21,-215.118,-254.26,-212.954,-247.83,-206.746,-210.251,-215.653,-205.496,-212.974,-215.03,-206.74,-227.877,-141.822,-230.634,-146.837
53,-230.675,-86.6536,-230.96,-108.163,-212.528,-107.627,-187.88,-120.912,-197.987,-102.706,-248.073,-108.631,-271.969,-117.95,-265.585,-106.291,-229.21,-146.098,-219.727,-146.151,-215.781,-177.811,-212.131,-205.34,-239.012,-146.138,-248.516,-174.098,-249.293,-205.469,-226.687,-83.8795,-232.825,-83.5705,-221.89,-87.9679,-238.188,-86.0515,-249.348,-215.003,-254.521,-212.981,-247.923,-206.24,-210.264,-215.718,-205.475,-212.367,-215.183,-206.092,-227.627,-137.785,-230.391,-143.154
54,-229.49,-78.6648,-231.27,-100.727,-211.997,-100.626,-186.189,-108.497,-197.887,-91.1727,-248.382,-101.088,-273.756,-107.601,-265.102,-94.5132,-229.648,-140.97,-219.877,-141.591,-215.627,-175.544,-212.462,-204.945,-239.778,-140.962,-248.637,-172.441,-249.199,-204.801,-226.664,-75.7797,-232.794,-75.3758,-221.87,-78.6602,-237.777,-78.4359,-249.23,-215.069,-254.278,-213.066,-248.578,-206.187,-210.237,-215.707,-205.461,-212.188,-215.442,-205.665,-227.789,-132.39,-230.69,-138.171
55,-229.37,-69.9632,-231.664,-90.5481,-212.682,-91.3157,-185.654,-95.1791,-199.344,-78.9305,-248.803,-89.3795,-274.788,-95.1206,-265.028,-81.6077,-229.864,-135.117,-219.819,-135.822,-215.083,-172.475,-212.217,-204.52,-240.202,-135.068,-249.191,-171.378,-249.372,-204.66,-226.689,-67.5677,-232.852,-67.3633,-221.867,-69.3568,-238.149,-68.932,-249.215,-215.042,-254.533,-213.532,-248.525,-205.224,-210.318,-215.677,-205.531,-212.557,-215.377,-205.182,-227.992,-125.832,-230.907,-131.959
56,-230.141,-60.5242,-231.259,-78.6592,-212.596,-79.9309,-184.158,-81.4519,-200.675,-65.5571,-248.343,-76.4864,-275.741,-80.518,-262.857,-67.1561,-229.655,-128.642,-219.841,-128.651,-214.997,-169.249,-211.6,-204.3,-240.606,-128.689,-249.265,-169.087,-250.537,-204.987,-226.691,-57.1557,-232.804,-57.2352,-221.891,-60.3725,-238.412,-58.0499,-249.422,-215.034,-254.934,-213.871,-249.347,-205.992,-210.189,-215.731,-205.387,-212.611,-214.72,-205.009,-227.897,-118.34,-230.748,-124.799
57,-230.03,-50.417,-230.989,-68.1468,-212.648,-68.9203,-184.486,-68.8698,-200.649,-53.9029,-248.164,-66.8352,-276.142,-67.4606,-260.403,-52.8365,-230.569,-121.462,-220.475,-121.457,-215.721,-163.053,-211.051,-201.888,-241.469,-121.36,-248.571,-162.361,-251.408,-200.266,-226.673,-46.5189,-232.829,-46.5115,-221.859,-49.9287,-238.205,-48.8578,-248.963,-213.018,-254.509,-211.39,-251.288,-203.305,-210.362,-215.016,-205.58,-212.152,-211.842,-204.709,-228.127,-110.171,-231.057,-116.918
58,-230.17,-41.6289,-231.266,-59.3984,-214.084,-59.9547,-185.861,-59.9738,-200.763,-44.8382,-247.642,-58.597,-275.784,-58.1647,-259.99,-41.8615,-230.966,-111.426,-220.56,-111.452,-216.387,-154.709,-210.001,-195.221,-241.986,-111.564,-247.184,-152.765,-250.56,-191.646,-226.719,-39.204,-232.878,-38.4314,-221.906,-40.7315,-238.332,-40.4369,-249.67,-208.166,-254.975,-205.716,-249.947,-194.746,-210.891,-210.253,-206.027,-208.294,-210.853,-197.776,-228.234,-101.09,-231.181,-107.666
59,-230.675,-34.6114,-231.595,-51.7117,-215.188,-51.871,-186.916,-53.2445,-201.266,-36.1479,-246.708,-51.2423,-275.36,-51.5519,-259.748,-35.0194,-230.66,-102.459,-220.452,-102.397,-216.4,-146.732,-211.305,-187.755,-242.21,-102.288,-246.547,-145.218,-249.342,-184.259,-226.646,-32.2155,-232.781,-31.0329,-221.899,-34.0591,-238.293,-32.1907,-248.783,-201.383,-253.81,-199.768,-247.937,-186.732,-212.987,-202.061,-207.618,-200.599,-213.616,-188.721,-228.243,-93.1118,-231.142,-99.4055
60,-230.894,-26.4885,-232.022,-45.7801,-215.709,-45.5994,-188.257,-49.0137,-200.733,-31.282,-247.815,-45.4659,-274.558,-47.199,-260.003,-30.2592,-230.859,-96.9174,-220.56,-97.0093,-216.397,-139.607,-215.334,-179.882,-241.822,-96.4249,-247.18,-139.036,-248.529,-177.4,-226.773,-24.1021,-232.988,-23.8935,-221.913,-26.4272,-238.327,-25.0123,-244.29,-193.753,-249.552,-192.644,-248.507,-178.245,-217.16,-195.194,-211.566,-193.966,-216.541,-181.686,-228.595,-87.1303,-231.503,-93.4101
61,-231.349,-19.7578,-232.207,-40.5459,-215.615,-40.7901,-188.47,-46.9587,-199.976,-28.3784,-248.517,-39.6876,-274.567,-44.8579,-260.389,-26.0384,-230.729,-91.5587,-220.436,-91.4326,-216.438,-134.414,-216.72,-172.971,-241.731,-92.0668,-247.221,-134.342,-247.199,-171.236,-227.277,-17.8932,-233.371,-18.0603,-221.909,-19.0089,-238.328,-18.9892,-242.636,-187.065,-247.649,-184.766,-247.243,-171.962,-218.999,-189.001,-214.383,-188.065,-218.306,-173.83,-228.639,-81.9992,-231.517,-88.1146
